feature,importance
comment_length,0.2891704639957032
delivery_delay_days,0.12878206680161955
delivery_days,0.1281400172327329
has_comment,0.09991204629558786
is_late_int,0.08338382769852588
seller_avg_review,0.05681415885226397
item_count,0.04038542663665982
freight_value,0.03645786544791965
freight_ratio,0.0335434221169215
price,0.03185454170931793
product_weight_g,0.028391894934265225
product_category,0.018752692579170855
num_installments,0.012564640379389655
product_photos_qty,0.011846935319922047
